Channel,Start_ms,End_ms,Duration_ms,PeakTime_ms,Peak_t,Minimum_FDR_q,Direction
P8,20.0000000000001,36.0000000000001,17.999999999998,30.0000000000008,-5.60655509568045,0.00139435597724631,Negative
P8,136.000000000001,140,5.99999999999934,138,3.49433692743639,0.00139435597724631,Positive
P8,148,160.000000000001,13.9999999999985,158,3.82205866824738,0.00139435597724631,Positive
T8,10.0000000000003,14.0000000000008,5.99999999999934,10.0000000000003,-4.92893864276308,0.00139435597724631,Negative
T8,18.0000000000003,42.0000000000003,25.9999999999971,26.0000000000003,-7.74764774376746,0.00139435597724631,Negative
FC6,40.0000000000006,44.0000000000001,5.99999999999934,40.0000000000006,-4.15719149546547,0.00383557858725169,Negative
F4,16.0000000000005,24.0000000000005,9.9999999999989,20.0000000000001,3.71468542254782,0.00234725562192815,Positive
F4,152.000000000001,158,7.99999999999912,156,-3.46712140419741,0.00139435597724631,Negative
C4,24.0000000000005,30.0000000000008,7.99999999999912,28.0000000000001,-3.94645860205369,0.0030807730037807,Negative
P4,10.0000000000003,36.0000000000001,27.9999999999969,26.0000000000003,-7.634984344572,0.00139435597724631,Negative
P4,156,162,7.99999999999912,158,4.21791736445848,0.00139435597724631,Positive
AF4,10.0000000000003,32.0000000000006,23.9999999999974,18.0000000000003,5.97228035072281,0.00139435597724631,Positive
AF4,54.0000000000008,62.0000000000008,9.9999999999989,58.0000000000004,-4.13719302339447,0.00139435597724631,Negative
AF4,132,164,33.9999999999963,154,-4.3449692144971,0.00139435597724631,Negative
Fp2,10.0000000000003,14.0000000000008,5.99999999999934,12.0000000000001,6.07628429637899,0.00139435597724631,Positive
Fp2,18.0000000000003,32.0000000000006,15.9999999999982,24.0000000000005,5.94350458216305,0.00139435597724631,Positive
Fp2,54.0000000000008,60.0000000000001,7.99999999999912,58.0000000000004,-4.02724620980751,0.00234725562192815,Negative
Fp2,130,142,13.9999999999985,138,-5.24085532413009,0.00139435597724631,Negative
Fp2,150,160.000000000001,11.9999999999987,152.000000000001,-5.43170928729158,0.00139435597724631,Negative
Fp1,10.0000000000003,32.0000000000006,23.9999999999974,20.0000000000001,6.05513286769561,0.00139435597724631,Positive
Fp1,52.0000000000001,60.0000000000001,9.9999999999989,56.0000000000006,-4.30889825430993,0.00139435597724631,Negative
Fp1,116,122,7.99999999999912,120.000000000001,-3.96712955530103,0.00139435597724631,Negative
Fp1,130,142,13.9999999999985,138,-4.33523080058237,0.00139435597724631,Negative
Fp1,152.000000000001,160.000000000001,9.9999999999989,154,-4.02826956346092,0.00234725562192815,Negative
AF3,10.0000000000003,36.0000000000001,27.9999999999969,18.0000000000003,5.81826248750461,0.00139435597724631,Positive
AF3,54.0000000000008,62.0000000000008,9.9999999999989,56.0000000000006,-3.93884168842509,0.00139435597724631,Negative
Fz,30.0000000000008,34.0000000000003,5.99999999999934,32.0000000000006,4.10685400791553,0.0030807730037807,Positive
Fz,156,162,7.99999999999912,158,-4.00795048314262,0.00234725562192815,Negative
PO3,10.0000000000003,38.0000000000008,29.9999999999967,20.0000000000001,-7.38084578591565,0.00139435597724631,Negative
O1,10.0000000000003,36.0000000000001,27.9999999999969,24.0000000000005,-7.57612543819162,0.00139435597724631,Negative
O1,140,144.000000000001,5.99999999999934,140,4.34417598026537,0.00234725562192815,Positive
O1,152.000000000001,164,13.9999999999985,160.000000000001,5.95623216747783,0.00139435597724631,Positive
Oz,10.0000000000003,36.0000000000001,27.9999999999969,24.0000000000005,-7.67599452386115,0.00139435597724631,Negative
Oz,152.000000000001,160.000000000001,9.9999999999989,158,4.89128589361648,0.00139435597724631,Positive
O2,12.0000000000001,36.0000000000001,25.9999999999971,22.0000000000008,-8.40416020119406,0.00139435597724631,Negative
O2,134,138,5.99999999999934,136.000000000001,4.09012652011033,0.00383557858725169,Positive
O2,152.000000000001,160.000000000001,9.9999999999989,154,4.16086099832421,0.00234725562192815,Positive
PO4,10.0000000000003,36.0000000000001,27.9999999999969,18.0000000000003,-7.6980030645927,0.00139435597724631,Negative
PO4,146,164,19.9999999999978,158,4.64714410366718,0.00139435597724631,Positive
Pz,136.000000000001,144.000000000001,9.9999999999989,140,4.28128337516118,0.00139435597724631,Positive
P3,10.0000000000003,30.0000000000008,21.9999999999976,18.0000000000003,-7.17968530435802,0.00139435597724631,Negative
F3,18.0000000000003,40.0000000000006,23.9999999999974,32.0000000000006,4.52534336650682,0.00139435597724631,Positive
P7,18.0000000000003,24.0000000000005,7.99999999999912,22.0000000000008,-4.06978259603072,0.00139435597724631,Negative
